 -3792,-526,6850, -2614, -1340, -1399
 -4236,-824,6210, -4288, -2394, -1931
 -4320,-852,6866, -1044, -218, -1502
 -4356,-1380,6236, -177, -97, -631
 -4362,-1094,6574, 61, 259, -1077
 -4148,-1046,6674, 296, -241, -172
 -4326,-974,6698, 577, -355, -91
 -4136,-992,6786, 880, 57, 73
 -4012,-924,6568, 142, -434, 89
 -4036,-526,6862, 363, -316, -131
 -4142,-422,6790, 795, -159, -111
 -4336,-662,6706, 1676, 572, 31
 -4312,-396,6584, 1369, 90, -24
 -4438,-354,6308, 1296, -297, -350
 -4164,-108,6462, 3223, 331, -1091
 -3854,-128,6358, 2576, 94, -1148
 -3740,420,6582, 2918, 40, -1086
 -3266,1084,7052, 3140, -652, -1586
 -3594,1148,6508, 3235, -499, -1959
 -3476,1560,6822, 3983, -123, -1771
 -3288,2192,6966, 4880, 649, -1537
 -2790,3146,7706, 3884, 87, -1761
 -2566,3876,8396, 3931, -717, -1798
 -1968,4778,8890, 5081, 342, -1900
 -1914,4818,8746, 4856, 276, -1630
 -1756,5230,8448, 4276, -54, -1655
 -1624,5830,8700, 4495, 129, -2282
 -1046,5786,8344, 4464, 77, -2726
 -1198,6010,8140, 4026, 53, -2145
 -1056,5884,7970, 3965, -112, -2569
 -740,6260,7710, 3754, -551, -3259
 -382,6920,7822, 4664, 403, -3106
 -962,7868,7856, 4828, 913, -2351
 -1078,7818,7642, 4430, 696, -1938
 -1274,8058,7096, 3530, 864, -1488
 -884,8608,8070, 1906, -169, -993
 -850,8740,7710, 1376, 103, -1095
 -526,8960,8566, 1241, 672, -488
 -756,8728,8208, 0, -278, -142
 -532,8630,8468, 119, -506, -534
 -518,8716,8282, 163, -414, -399
 -710,8600,7566, 1515, -1080, -504
 -712,7854,6650, 140, -2093, -1111
 -208,8160,6768, 366, -1585, -1284
 24,8690,7686, 1288, -524, -347
 242,9370,7934, 1549, -157, -706
 206,9540,8582, 1558, 196, -262
 72,8862,7328, 1117, -95, -527
 356,9338,7880, 3, -650, -288
